product_type,weight,battery,screen_size,ram,storage,composition
Tablet,7989,3911,4.430530248048368,54,310,92.25557693716445
Desktop Computer,2250,4857,15.225086433007508,32,169,68.54386383738571
Tablet,8872,2430,19.02660457790983,2,53,20.618443959667733
Mobile Phone,8548,4032,10.172370587932434,39,315,96.5876837701157
Tablet,8648,4545,6.892225666901022,15,53,39.852200628830104
Laptop,4779,1555,6.92357707625042,43,209,50.14341096389219
Desktop Computer,7749,161,11.952281108036805,41,449,79.06751616926141
Desktop Computer,3675,2549,6.40962263532505,15,345,70.82769480698389
Desktop Computer,7923,4321,8.547463954423343,60,379,3.3050470917574515
Laptop,5302,1055,18.90482392965384,46,96,79.0351383056484
Mobile Phone,5765,4490,15.241276505454044,3,132,81.4567730067798
Desktop Computer,9795,4864,11.630532221759946,21,127,68.71011110561687
Desktop Computer,4364,1544,3.165194490976903,54,499,25.737730471287566
Tablet,5514,3170,5.337056371792997,18,308,64.11337254192074
Mobile Phone,5517,3401,17.23644154801439,59,209,94.27584270664363
Mobile Phone,8218,3802,15.37464110268808,1,73,54.29016954987029
Desktop Computer,3797,4025,5.11640898812702,45,385,39.740946216075265
Mobile Phone,3759,4506,4.565258336997502,56,499,6.4338063423545755
Tablet,3984,2170,16.6039207609339,18,132,73.16935807543133
Tablet,1967,874,15.619284562671,32,241,55.097602041419
Laptop,4491,1172,15.998053983966035,9,428,21.194519299080373
Desktop Computer,1844,1463,15.54808163396482,64,410,60.05662207221516
Mobile Phone,3984,1228,8.5535458056195,22,230,10.979914915136145
Desktop Computer,4414,2338,15.329203953291637,8,87,20.35909744420462
Tablet,1152,3128,18.26539473834971,19,413,27.64416456702914
Mobile Phone,6568,2379,3.9830745178708593,33,29,2.012148128892932
Mobile Phone,532,4389,6.203705521042169,42,234,32.20181368884302
Mobile Phone,7974,3977,15.184687254971744,40,257,52.23060380971312
Laptop,763,1640,14.932590648213004,1,30,8.164495294615703
Laptop,3208,2721,8.134685347739016,14,468,14.37085423530281
Tablet,5447,1879,8.84116858422026,42,399,48.32715452011285
Laptop,3390,520,7.848610384197813,32,225,59.95626026206293
Tablet,4739,4681,10.591782789763045,28,477,47.67711628763532
Mobile Phone,1065,3511,17.98133809397018,9,430,4.869593503430892
Desktop Computer,8865,1398,16.799120988792943,11,429,96.74006815001252
Desktop Computer,2098,1884,4.4162298263029935,5,297,0.550643549213492
Mobile Phone,9308,1124,6.1012203884301055,27,354,82.0996519009175
Laptop,1583,3470,14.968586754026543,43,209,75.7762228533839
Mobile Phone,9749,3172,4.545441102217196,42,443,79.24166293724973
Desktop Computer,2073,3294,4.654143479676327,40,161,97.71467706769094
Mobile Phone,6617,486,15.023529978061463,50,58,40.305711732968504
Mobile Phone,5703,1500,9.20234339828766,10,457,2.6689965492267986
Desktop Computer,2607,4294,15.89320937991802,10,70,79.77655789440836
Desktop Computer,9025,1919,5.975042956051913,50,146,81.17781456516914
Desktop Computer,4257,3231,3.9333712319182985,12,180,89.01111864644274
Desktop Computer,4829,2565,6.688552483647369,62,229,38.55994223190896
Tablet,7503,3311,3.871795190251364,60,297,19.207901468108368
Desktop Computer,6335,1929,15.36385611416366,22,43,54.71401237541444
Desktop Computer,2256,4673,13.48973341549698,23,183,42.2405928284467
Mobile Phone,4811,750,3.9434434596217876,64,163,67.85387207035939
Tablet,3930,455,18.51896674743598,14,379,17.735447503353097
Tablet,6084,4039,5.5107442355522345,45,75,19.940837421464607
Mobile Phone,5431,1883,9.338251518338186,43,491,43.60878471985355
Laptop,4450,1870,4.217039066850612,32,278,1.689517834293608
Laptop,2549,2330,3.7108279450337287,24,139,22.311829431885254
Desktop Computer,7597,2514,19.423195319457676,5,125,54.83869510545729
Laptop,947,3768,6.614483655793579,48,220,4.057668446764895
Desktop Computer,7682,4929,17.797095532720814,19,54,32.74275384988129
Laptop,9557,3106,16.9982219507026,29,182,32.171582194989846
Desktop Computer,1517,3570,14.710013907103296,52,143,22.292052887247603
Laptop,4841,1699,11.670828004107118,64,406,25.419893137206262
Desktop Computer,5585,3240,8.078801698137482,64,151,31.927505391753186
Mobile Phone,8823,2618,12.269848131616346,44,390,33.849510478693176
Laptop,9685,2538,9.727596061159074,9,112,35.9807909035763
Laptop,8114,720,13.713132366724682,51,11,13.119059642614916
Mobile Phone,1556,3762,6.000449470907814,39,322,2.6753711361789723
Laptop,5329,1926,13.409227088111356,41,341,48.8742699081944
Laptop,1843,506,8.19999758391053,63,387,57.79696718656871
Desktop Computer,8318,1359,9.860593707458683,39,398,70.59878520930512
