Location,Population density,GDP,Urbanization rate,E-waste generation rate,Inventory capacity
Location 1,934.952196307173,6208.3938466744985,0.6112295932231877,0.08394841043553422,994.9432038772251
Location 2,1412.9347341093728,4446.207663098235,0.11419318366332376,0.14559596777930905,490.13248467567263
Location 3,1063.4864248533356,3773.9097198438144,0.1700662947834295,0.0791988583461661,1014.3308225134788
Location 4,1176.0435011236382,1710.6631786890161,0.4694056439459482,0.19766428470487926,272.6154199337592
Location 5,1094.9381733925936,3401.188643289197,0.8092597661996441,0.05969475869836019,1056.9850081270456
Location 6,1590.0360349862997,3827.3390362710948,0.7062193677986567,0.13636283917615902,1382.0205490397482
Location 7,1368.7273086245182,3244.33491807569,0.41082983782924143,0.12530003513223617,1264.8509896074106
Location 8,1276.7287779928324,5786.064588462831,0.5721657024673271,0.11816078034259446,1135.0014260176933
Location 9,908.0714225839591,4178.707434010999,0.44562176941439213,0.03516773532095767,1611.2259481764136
Location 10,1069.8052704111271,3549.698336984051,0.6088186306359566,-0.01705902921876841,479.1876846474364
Location 11,253.00386654281454,3722.472069209891,0.5008616600730655,0.1560198088855861,2069.976751434382
Location 12,637.4064112171088,7603.583852823411,0.4283395888131417,0.11610952151028453,1655.6270647573988
Location 13,1490.5124427842065,7846.1301695195725,0.4752001716724637,0.05959751803783318,554.5043646129744
Location 14,362.1839337284712,3362.8470082809217,0.6993851117588186,0.1342371318060065,1032.7724645432234
Location 15,836.49707354883,4713.224109468071,0.8451695412403082,0.01002032307981697,1335.587058667533
Location 16,1591.6926321587678,4237.680079626021,0.5476832826404092,0.1706733899400655,168.1954073226301
Location 17,1240.2440692465336,6052.910813701892,0.5909897162977127,0.19541789663286135,-63.80895679069931
Location 18,432.3921762266798,3238.3745663139307,0.5032544760736017,0.13631938783857203,1654.079322176642
Location 19,1519.5231100906672,2803.824677686461,0.5230713300854837,0.01976955810978906,355.71925044803936
Location 20,628.8940485243684,5560.272409918582,0.8211081132008127,0.09918244936567151,1092.6564671330973
Location 21,784.1314016460851,3909.1818927796385,0.5500790886490937,0.10691582345503921,380.0747003667533
Location 22,601.9738073058597,5943.315605147666,0.7008397250359195,0.06765900940380531,2035.2123589084035
Location 23,1072.1009900015492,6209.86108755964,0.545181314648427,-0.005099563192632564,1179.813418652228
Location 24,967.8369667284626,7334.0529712630505,0.5096964035420387,0.07663992523106157,718.5983669255304
Location 25,776.3331667099224,5056.279698479857,0.596494197939261,0.1201126348235009,1314.7876507299793
Location 26,639.8639306992627,9217.29954678482,0.6301075196411183,0.1708615202063775,876.8698311378956
Location 27,821.672162114887,5542.579956629948,0.8144213410368091,0.08900534702421577,567.5465851741712
Location 28,1232.9409440110035,6122.057454668252,0.3992743258103502,0.03879484892647276,1990.7601706664254
Location 29,705.7295799371688,7495.552762574139,0.5950820928755627,0.1112305109632052,977.5035174386019
Location 30,1175.035389558053,1457.169742084296,0.6768935882558648,0.11766410704583793,11.060419861462037
Location 31,1710.3729331616025,2321.479493691705,0.7931648143577099,0.1518187064440505,1480.49350399349
Location 32,1239.2067467119389,6596.280445008493,0.4274589482380871,0.014667872269082255,1505.398358406599
Location 33,744.1096642123836,6640.3219208246255,0.4217454569210721,0.21010418352692734,930.0458724335045
Location 34,151.49036058337742,8640.550430361844,0.37242107756341597,0.07004045027148574,1047.1958416312516
